,data,hora,time_casa,time_visitante,casa_ganha,empate,visitante_ganha,maisq,menosq,simodd,nãoodd
0,1900-01-30,22:00,Club Atletico Tucuman II,Boca Juniors II,3.9,3.5,1.82,1.98,1.65,1.88,1.72
1,1900-01-30,22:00,CF Tigres UANL (F),Deportivo Toluca FC (F),1.07,10.0,14.5,,,,
2,1900-01-30,22:10,Once Caldas,Deportes Tolima,2.32,2.92,3.6,2.7,1.47,2.15,1.65
3,1900-01-31,00:00,Mazatlán FC (F),Cruz Azul (F),6.5,4.75,1.36,1.52,2.2,,
4,1900-01-31,00:05,Guadalajara Chivas (F),Juarez (F),1.42,4.7,5.5,1.6,2.05,,
5,1900-01-31,05:30,Manipur,Punjab FC,1.47,4.05,5.7,,,,
6,1900-01-31,06:00,Mohammedan SC Dhaka,Sheikh Jamal Dhanmondi Club,2.3,3.4,2.67,1.8,1.8,,
7,1900-01-31,06:00,Azampur FC Uttara,Rahmatgonj MFS,5.9,4.7,1.39,1.62,2.02,,
8,1900-01-31,06:00,PS Barito Putera,PSS Sleman,2.07,3.2,3.4,2.0,1.65,1.8,1.8
9,1900-01-31,06:30,PSIS Semarang,Persib Bandung,3.35,3.15,2.1,2.07,1.6,1.85,1.75
10,1900-01-31,07:30,Pars Jonoubi Jam,Shams Azar,2.52,2.57,3.25,2.72,1.35,2.15,1.55
11,1900-01-31,07:30,Fajr Sepasi FC,Esteghlal Khuzestan,2.82,2.32,3.25,3.05,1.28,2.25,1.5
12,1900-01-31,07:30,Esteghlal Mollasani,Chooka Talesh,1.65,3.1,6.1,2.67,1.36,2.5,1.4
13,1900-01-31,07:30,Khosheh Talaei,Khalij Fars Mahshahr,2.72,2.4,3.25,3.0,1.29,2.22,1.52
14,1900-01-31,07:30,Shahrdari Hamedan,Mes Shahr-e Babak,3.4,2.3,2.8,3.55,1.21,2.57,1.39
15,1900-01-31,07:30,Caspian Babol,Van Pars Naghsh Jahan,2.6,2.57,3.2,2.7,1.36,2.1,1.57
16,1900-01-31,07:30,Kheybar Khorramabad,SaiPa Karaj FC,2.47,2.37,3.8,3.1,1.27,2.32,1.47
17,1900-01-31,07:30,Shahrdari Astara,Chadormalu,2.82,2.37,3.15,3.1,1.27,2.32,1.47
18,1900-01-31,08:00,Al Kahrabaa,Naft Maysan,2.15,2.72,3.75,,,,
19,1900-01-31,08:00,Portimonense Sub-23,Sporting CP Sub-23,2.02,3.7,3.1,1.44,2.42,1.4,2.52
20,1900-01-31,08:30,Al Sinaah,Naft Al-Wasat,3.25,2.7,2.37,,,,
21,1900-01-31,09:00,Qarabağ FK,Shamakhi,1.15,6.9,13.5,1.35,2.72,2.02,1.62
22,1900-01-31,09:40,Al Riyadh SC,Al Kholood,1.98,3.05,3.85,2.42,1.44,2.12,1.57
23,1900-01-31,10:00,Bristol City Sub-21,Reading Sub-21,1.6,4.35,4.2,1.28,3.05,1.33,2.8
25,1900-02-01,15:30,Audax Rio RJ,Bangu,2.72,2.8,2.82,2.55,1.45,2.05,1.7
26,1900-02-01,19:00,Botafogo-RJ,Nova Iguaçu,1.35,4.35,9.25,1.93,1.78,2.32,1.53
27,1900-02-01,21:10,Flamengo,Boavista-RJ,1.22,5.3,13.5,1.62,2.15,2.27,1.57
28,1900-02-02,15:30,Madureira,Portuguesa-RJ,2.65,2.87,2.82,2.5,1.47,2.05,1.7
29,1900-02-02,19:00,Vasco da Gama,Resende,1.31,4.5,10.5,2.0,1.72,2.57,1.45
31,1900-02-01,15:00,Angers,AC Ajaccio,2.27,3.15,3.4,2.3,1.62,1.93,1.82
32,1900-02-01,15:00,Lille,Clermont,1.5,4.25,6.8,1.8,2.02,1.93,1.82
33,1900-02-01,15:00,Stade de Reims,FC Lorient,1.85,3.6,4.3,1.95,1.87,1.82,1.93
34,1900-02-01,15:00,Toulouse FC,Troyes,1.75,4.0,4.35,1.65,2.25,1.65,2.15
35,1900-02-01,17:00,Montpellier,Paris Saint Germain,8.25,5.8,1.32,1.45,2.75,1.78,1.98
36,1900-02-01,17:00,Lens,Nice,1.75,3.5,5.3,2.12,1.72,1.95,1.78
37,1900-02-01,17:00,Lyon,Brestois,1.53,4.35,5.9,1.7,2.18,1.75,2.0
38,1900-02-01,17:00,Rennes,Estrasburgo,1.55,4.15,6.1,1.91,1.9,1.98,1.78
39,1900-02-01,17:00,Monaco,AJ Auxerre,1.34,5.4,8.5,1.55,2.45,1.88,1.85
40,1900-02-04,13:00,Paris Saint Germain,Toulouse FC,1.24,6.8,10.75,1.38,3.05,1.82,1.91
41,1900-02-04,15:00,Troyes,Lyon,4.3,3.95,1.78,1.7,2.18,1.65,2.15
42,1900-02-04,17:00,Rennes,Lille,2.3,3.5,3.05,1.93,1.88,1.72,2.05
