,data/hora,maisq25,menosq25,casa_ganha,empate,visitante_ganha,time_casa,time_visitante
0,72′,0,2.0,1.68,2.1,25.0,1.1,Roma
1,27′,3,0.0,100.0,250.0,Sport Recife,,
2,16′,1,0.0,1.52,2.4,1.28,10.0,Sporting CP
3,74′,0,2.0,1.9,1.82,250.0,1.001,Montpellier
4,75′,2,1.0,1.1,8.0,50.0,Monaco,Auxerre
5,77′,0,0.0,16.0,  2.8,1.6,Lyon,Brest
6,76′,3,0.0,250.0,250.0,Rennes,,
7,74′,0,1.0,6.5,1.08,12.0,1.46,Lens
8,76′,0,1.0,8.5,1.04,70.0,1.07,Betis
9,90′,0,4.0,250.0,250.0,  Mainz,,
10,89′,3,0.0,250.0,250.0,Celtic,,
11,85′,1,2.0,250.0,10.0,1.03,Aberdeen,St Mirren
12,90′,1,0.0,50.0,  1.002,16.0,Kilmarnock,Dundee Utd
13,88′,0,3.0,250.0,250.0,  Hearts,,
14,88′,0,2.0,7.0,1.07,250.0,  Motherwell,St Johnstone
15,90′,1,0.0,50.0,  1.001,25.0,Union St Gilloise,Antwerp
16,88′,1,2.0,250.0,9.0,1.05,Oxford Utd,Barnsley
17,75′,4,1.0,250.0,250.0,Real Madrid FC (W),,
18,76′,0,0.0,50.0,  5.0,1.28,Andria Bat,US Virtus Francavilla Calcio
19,75′,0,0.0,50.0,  4.75,1.28,US Latina Calcio,Viterbese
20,Ao vivo,1.72,2.0,12.0,1.8,2.1,Juve Stabia,Crotone
21,71′,2,0.0,2.1,1.68,1.001,250.0,Foggia
22,89′,2,1.0,1.02,10.0,100.0,Yate Town FC,Hendon
23,88′,2,3.0,100.0,6.5,1.07,Tiverton Town,Hanwell
24,72′,1,1.0,1.78,1.95,4.5,3.25,Municipal Grecia
25,Ao vivo,2.0,1.72,5.5,3.0,1.6,Red Bull Brasil,Bandeirante SP
26,88′,5,2.0,250.0,250.0,Swansea City (W),,
27,90′,0,2.0,4.5,1.16,250.0,  Kingstonian,Margate
28,84′,1,1.0,3.35,1.28,7.0,6.5,St Mochtas
29,76′,4,1.0,250.0,250.0,Rangers (F),,
30,87′,1,0.0,16.0,  1.05,7.0,Rockmount,Ringmahon Rangers
31,29′,1,1.0,1.16,4.75,1.75,5.5,CD Aguila
32,Ao vivo,1.6,2.2,12.0,4.75,1.22,Jocoro,Alianza FC (SLV)
