,time_casa,time_visitante,aovivo,casa_ganha,empate,visitante_ganha,mais/menosQ,maisQ,menos_que
0,Manchester United,Nottingham Forest,AO VIVO,2º T 75:37,2.0,0.0,Aposte agora,,
1,Lens,Nice,AO VIVO,2º T 75:47,0.0,1.0,11.50,3.50,1.4
2,Roma,Cremonese,AO VIVO,2º T 72:37,0.0,2.0,18.50,7.25,1.12
3,Sporting,Braga,AO VIVO,1º T 17:27,1.0,0.0,1.29,4.60,9.0
4,Botafogo,Nova Iguaçu,Começando em 25 min,1.55,3.8,6.25,"2,5",2.05,1.68
5,Athletico-PR,Azuriz,Começando em 40 min,1.22,5.25,12.0,"2,5",1.78,1.9
6,Vila Nova,Grêmio Anápolis,Começando em 55 min,1.34,4.2,8.25,"2,5",2.10,1.65
7,Bento Gonçalves-RS,Grêmio,Hoje / 20:00,9.75,4.5,1.31,"2,5",1.98,1.73
8,Cuiabá,Sport Sinop,Hoje / 20:00,1.15,6.5,14.5,"2,5",1.71,2.0
9,Fortaleza,Atlético-CE,Hoje / 20:45,1.13,7.0,17.0,"2,5",1.65,2.1
10,Flamengo,Boavista,Hoje / 21:10,1.11,9.5,21.0,"3,5",2.30,1.53
11,Barcelona de Ilhéus,Bahia,Hoje / 21:30,7.25,3.9,1.41,"2,5",2.25,1.57
12,Mirassol,Palmeiras,Hoje / 21:35,4.75,3.4,1.77,"2,5",2.15,1.61
13,Real Madrid,Valencia,Amanhã / 17:00,CRIAR APOSTA,1.39,5.0,7.75,"2,5",1.6
14,Mirassol,Palmeiras,Hoje / 21:35,4.75,3.4,1.77,"2,5",2.15,1.61
16,Guarani,RB Bragantino,04/02/2023 16:00,3.70,3.2,2.05,"1,5",1.49,2.4
17,Ferroviária,São Bernardo,04/02/2023 16:00,2.40,3.0,3.0,"2,5",2.45,1.49
18,Palmeiras,Santos,04/02/2023 18:30,1.78,3.5,4.4,"2,5",2.00,1.7
19,Ituano,Água Santa,05/02/2023 11:00,2.10,3.1,3.6,"1,5",1.49,2.4
20,Santo André,São Paulo,05/02/2023 16:00,3.70,3.4,1.98,"2,5",2.25,1.55
21,Corinthians,Botafogo-SP,05/02/2023 18:30,1.55,3.8,6.25,"2,5",2.05,1.66
22,Portuguesa,Inter de Limeira,05/02/2023 20:30,2.35,3.0,3.1,"1,5",1.53,2.3
