01/02,19:00,Botafogo-RJ,Nova Iguaçu,1.53,3.75,6.10,+,2.02,-,1.70,Sim,2.10,Não,1.65,155
01/02,19:00,Grêmio Novorizontino,Ponte Preta,2.62,2.92,2.72,+,2.18,-,1.53,Sim,1.85,Não,1.75,31
01/02,19:00,Oeste,Atletico Linense SP,1.65,3.30,5.40,+,2.55,-,1.40,Sim,2.45,Não,1.42,31
01/02,19:00,Capivariano SP,Uniao Suzano AC SP,2.12,3.05,3.45,+,2.20,-,1.53,Sim,1.93,Não,1.70,31
01/02,19:00,Aimoré,São José-RS,3.05,2.80,2.55,+,2.75,-,1.40,Sim,2.22,Não,1.60,142
01/02,19:00,Caruaru City PE,Salgueiro PE,4.00,3.35,1.85,+,1.98,-,1.65,Sim,1.85,Não,1.75,31
01/02,19:00,Central SC PE,Ibis,1.78,3.40,4.25,+,2.15,-,1.55,Sim,2.05,Não,1.62,31
01/02,19:00,Pinheiro AC MA,Moto Club,2.87,3.15,2.30,+,2.00,-,1.65,16,,,,
01/02,19:00,Fluminense-PI,Altos,2.35,3.25,2.82,+,1.98,-,1.65,Sim,1.78,Não,1.82,31
01/02,19:00,Defensa y Justicia,CA Ituzaingo,1.25,5.40,10.00,+,1.53,-,2.18,Sim,2.05,Não,1.60,35
01/02,19:00,CSYD Mixco,Csd Xelaju MC,1.95,3.10,4.00,+,2.42,-,1.44,Sim,2.15,Não,1.55,31
01/02,19:00,Diablos Tesistan FC,Chihuahua FC II,1.75,3.75,3.80,16,,,,,,,,
01/02,19:15,Athletico-PR,Azuriz,1.26,4.90,10.75,+,1.75,-,1.85,Sim,2.37,Não,1.45,31
01/02,19:15,Atlético Alagoinhas,Itabuna EC BA,1.87,3.15,4.25,+,2.37,-,1.45,Sim,2.15,Não,1.55,31
01/02,19:30,Vila Nova,Gremio Anapolis GO,1.32,4.45,9.25,+,2.00,-,1.65,Sim,2.57,Não,1.38,31
01/02,20:00,EC Taubate,Noroeste SP,2.30,3.05,3.10,+,2.27,-,1.50,Sim,1.98,Não,1.65,31
01/02,20:00,Portuguesa Santista,Velo Clube,1.70,3.35,5.00,+,2.15,-,1.55,Sim,2.07,Não,1.60,31
01/02,20:00,Comercial SP,EC Lemense,1.80,3.35,4.25,+,2.20,-,1.52,Sim,2.07,Não,1.60,31
01/02,20:00,Marília,Audax,1.62,3.50,5.40,+,2.07,-,1.60,Sim,2.07,Não,1.60,31
01/02,20:00,Barretos,Sao Jose EC,2.67,2.82,2.75,+,2.67,-,1.36,Sim,2.20,Não,1.53,31
01/02,20:00,CE Bento Goncalves RS,Grêmio,9.75,4.70,1.31,+,1.98,-,1.75,Sim,2.60,Não,1.44,150
01/02,20:00,Caucaia,Guarani de Juazeiro CE,1.42,4.40,6.40,+,1.47,-,2.35,Sim,1.62,Não,2.02,31
01/02,20:00,Petrolina PE,Santa Cruz-PE,4.00,3.25,1.88,+,2.02,-,1.62,Sim,1.85,Não,1.75,31
01/02,20:00,Clube Sociedade Esportiva,Murici,2.20,2.75,3.50,+,2.32,-,1.47,16,,,,
01/02,20:00,Real Noroeste ES,Desportiva Ferroviaria ES,1.57,3.65,5.30,+,2.07,-,1.60,16,,,,
