Lyon,Brest,AO VIVO,2º T 78:14,0,0,2.75,1.63,9.50,"0,5",1.98,1.66
Manchester United,Nottingham Forest,AO VIVO,2º T 75:37,2,0,Aposte agora,,,,,
Lens,Nice,AO VIVO,2º T 75:47,0,1,11.50,3.50,1.40,"1,5",1.87,1.73
Roma,Cremonese,AO VIVO,2º T 72:37,0,2,18.50,7.25,1.12,"2,5",1.58,2.10
Sporting,Braga,AO VIVO,1º T 17:27,1,0,1.29,4.60,9.00,"2,5",1.46,2.37
Botafogo,Nova Iguaçu,Começando em 25 min,1.55,3.80,6.25,"2,5",2.05,1.68,,,
Athletico-PR,Azuriz,Começando em 40 min,1.22,5.25,12.00,"2,5",1.78,1.90,,,
Vila Nova,Grêmio Anápolis,Começando em 55 min,1.34,4.20,8.25,"2,5",2.10,1.65,,,
Bento Gonçalves-RS,Grêmio,Hoje / 20:00,9.75,4.50,1.31,"2,5",1.98,1.73,,,
Cuiabá,Sport Sinop,Hoje / 20:00,1.15,6.50,14.50,"2,5",1.71,2.00,,,
Fortaleza,Atlético-CE,Hoje / 20:45,1.13,7.00,17.00,"2,5",1.65,2.10,,,
Flamengo,Boavista,Hoje / 21:10,1.11,9.50,21.00,"3,5",2.30,1.53,,,
Barcelona de Ilhéus,Bahia,Hoje / 21:30,7.25,3.90,1.41,"2,5",2.25,1.57,,,
Mirassol,Palmeiras,Hoje / 21:35,4.75,3.40,1.77,"2,5",2.15,1.61,,,
Real Madrid,Valencia,Amanhã / 17:00,CRIAR APOSTA,1.39,5.00,7.75,"2,5",1.60,2.20,,
Mirassol,Palmeiras,Hoje / 21:35,4.75,3.40,1.77,"2,5",2.15,1.61
,,,,,,,,
Guarani,RB Bragantino,04/02/2023 16:00,3.70,3.20,2.05,"1,5",1.49,2.40
Ferroviária,São Bernardo,04/02/2023 16:00,2.40,3.00,3.00,"2,5",2.45,1.49
Palmeiras,Santos,04/02/2023 18:30,1.78,3.50,4.40,"2,5",2.00,1.70
Ituano,Água Santa,05/02/2023 11:00,2.10,3.10,3.60,"1,5",1.49,2.40
Santo André,São Paulo,05/02/2023 16:00,3.70,3.40,1.98,"2,5",2.25,1.55
Corinthians,Botafogo-SP,05/02/2023 18:30,1.55,3.80,6.25,"2,5",2.05,1.66
Portuguesa,Inter de Limeira,05/02/2023 20:30,2.35,3.00,3.10,"1,5",1.53,2.30
AO VIVO,2º T 80:13,,,,,,,,,,
BrasilSub-20,VenezuelaU20,AO VIVO,2º T 56:41,1,0,1.08,7.00,26.00,"2,5",2.15,1.55
CA Tigre,Rosário Central,AO VIVO,1º T 45:18,1,1,1.73,2.70,6.25,"3,5",1.93,1.68
Newell's Old Boys,Vélez Sarsfield,AO VIVO,1º T 43:15,0,0,3.10,1.88,3.90,"0,5",1.52,2.20
Guaraní,Sportivo Ameliano,AO VIVO,1º T 15:46,0,0,2.00,2.80,3.20,"2,5",2.25,1.51
Everton,Arsenal,Amanhã / 09:30,CRIAR APOSTA,7.50,4.75,1.41,"2,5",1.78,1.93,,
Borussia Dortmund,Freiburg,Amanhã / 11:30,CRIAR APOSTA,1.68,4.00,4.75,"2,5",1.63,2.15,,
Brighton,Bournemouth,Amanhã / 12:00,CRIAR APOSTA,1.35,5.00,8.75,"2,5",1.66,2.10,,
Manchester United,Crystal Palace,Amanhã / 12:00,CRIAR APOSTA,1.38,4.80,8.25,"2,5",1.80,1.90,,
Wolverhampton,Liverpool,Amanhã / 12:00,CRIAR APOSTA,3.90,3.70,1.88,"2,5",1.75,1.95,,
PSG,Toulouse,Amanhã / 13:00,CRIAR APOSTA,1.38,5.25,7.50,"3,5",2.05,1.68,,
Atlético de Madrid,Getafe,Amanhã / 14:30,CRIAR APOSTA,1.42,4.10,9.00,"2,5",2.30,1.53,,
Newcastle,West Ham,Amanhã / 14:30,CRIAR APOSTA,1.62,3.80,5.50,"2,5",1.98,1.73,,
Palmeiras,Santos,Amanhã / 18:30,1.42,4.33,7.75,"2,5",2.00,1.70,,,
Corinthians,Botafogo-SP,05/02/2023 18:30,1.38,4.33,9.00,"2,5",2.10,1.63,,,
São Bento,Mirassol,Amanhã / 15:30,3.30,3.10,2.20,"2,5",2.37,1.50
,,,,,,,,
Ferroviária,São Bernardo,Amanhã / 16:00,2.85,3.10,2.50,"2,5",2.45,1.49
Palmeiras,Santos,Amanhã / 18:30,1.42,4.33,7.75,"2,5",2.00,1.70
Ituano,Água Santa,05/02/2023 11:00,1.90,3.10,4.33,"1,5",1.50,2.40
Santo André,São Paulo,05/02/2023 16:00,4.10,3.40,1.85,"2,5",2.25,1.55
Corinthians,Botafogo-SP,05/02/2023 18:30,1.38,4.33,9.00,"2,5",2.10,1.63
Portuguesa,Inter de Limeira,05/02/2023 20:30,2.25,3.10,3.30,"1,5",1.52,2.35
Mirassol,Ferroviária,07/02/2023 19:30,2.00,3.00,4.10,"2,5",2.45,1.49
RB Bragantino,São Paulo,08/02/2023 19:30,2.80,3.00,2.60,"2,5",2.15,1.60
Guarani,Portuguesa,08/02/2023 20:30,2.25,3.00,3.40,"2,5",2.25,1.57
Portuguesa-RJ,Volta Redonda,06/02/2023 20:00,2.80,3.10,2.50,"2,5",2.30,1.53
Grêmio,Aimoré,Amanhã / 16:30,1.17,6.00,18.50,"2,5",1.80,1.88
Everton,Arsenal,Amanhã / 09:30,CRIAR APOSTA,7.50,4.75,1.41,"2,5",1.78,1.93
,,,,,,,,,
Brighton,Bournemouth,Amanhã / 12:00,CRIAR APOSTA,1.35,5.00,8.75,"2,5",1.66,2.10
Aston Villa,Leicester,Amanhã / 12:00,CRIAR APOSTA,1.98,3.50,3.70,"2,5",1.83,1.87
Manchester United,Crystal Palace,Amanhã / 12:00,CRIAR APOSTA,1.38,4.80,8.25,"2,5",1.80,1.90
Brentford,Southampton,Amanhã / 12:00,CRIAR APOSTA,1.87,3.60,4.10,"2,5",1.93,1.78
Newcastle,West Ham,Amanhã / 14:30,CRIAR APOSTA,1.62,3.80,5.50,"2,5",1.98,1.73
Nottingham Forest,Leeds United,05/02/2023 11:00,CRIAR APOSTA,2.60,3.30,2.70,"2,5",1.85,1.85
Tottenham,Manchester City,05/02/2023 13:30,CRIAR APOSTA,4.33,4.00,1.72,"2,5",1.60,2.20
Manchester United,Leeds United,08/02/2023 17:00,1.43,4.80,6.75,"2,5",1.57,2.25,
West Ham,Chelsea,11/02/2023 09:30,3.50,3.40,2.10,"2,5",2.00,1.72,
Crystal Palace,Brighton,11/02/2023 12:00,3.60,3.40,2.05,"2,5",2.00,1.71,
Fulham,Nottingham Forest,11/02/2023 12:00,1.98,3.60,3.70,"2,5",1.88,1.82,
Leicester,Tottenham,11/02/2023 12:00,3.40,3.70,2.05,"2,5",1.75,1.95,
Arsenal,Brentford,11/02/2023 12:00,1.37,5.00,8.50,"2,5",1.63,2.15,
Southampton,Wolverhampton,11/02/2023 12:00,2.55,3.10,2.90,"2,5",2.20,1.60,
Bournemouth,Newcastle,11/02/2023 14:30,7.00,4.33,1.47,"2,5",1.88,1.83,
Leeds United,Manchester United,12/02/2023 11:00,4.10,3.90,1.80,"2,5",1.65,2.10,
Manchester City,Aston Villa,12/02/2023 13:30,1.23,6.50,13.00,"3,5",2.15,1.62,
Liverpool,Everton,13/02/2023 17:00,1.38,4.60,8.75,"2,5",1.78,1.93,
Cremonese,Lecce,Amanhã / 11:00,CRIAR APOSTA,2.65,3.00,2.85,"2,5",2.30,1.55
,,,,,,,,,
Sassuolo,Atalanta,Amanhã / 16:45,CRIAR APOSTA,3.70,3.70,1.95,"2,5",1.57,2.25
Spezia,Napoli,05/02/2023 08:30,CRIAR APOSTA,8.25,5.00,1.37,"2,5",1.63,2.15
Torino,Udinese,05/02/2023 11:00,CRIAR APOSTA,2.25,3.20,3.30,"2,5",2.10,1.66
Fiorentina,Bologna,05/02/2023 14:00,CRIAR APOSTA,1.80,3.50,4.60,"2,5",2.00,1.72
Internazionale,Milan,05/02/2023 16:45,CRIAR APOSTA,1.95,3.50,3.90,"2,5",1.77,1.93
Hellas Verona,Lazio,06/02/2023 14:30,CRIAR APOSTA,3.90,3.30,2.00,"2,5",1.95,1.75
Monza,Sampdoria,06/02/2023 16:45,CRIAR APOSTA,1.83,3.40,4.50,"2,5",2.05,1.68
Salernitana,Juventus,07/02/2023 16:45,CRIAR APOSTA,5.75,4.00,1.58,"2,5",1.90,1.80
Torino,Milan,10/02/2023 16:45,1.68,3.80,5.00,"2,5",1.80,1.90,
Empoli,Spezia,11/02/2023 11:00,2.10,3.40,3.50,"2,5",1.93,1.78,
Lecce,Roma,11/02/2023 14:00,4.10,3.40,1.93,"2,5",2.10,1.65,
Lazio,Atalanta,11/02/2023 16:45,2.40,3.30,2.95,"2,5",1.77,1.93,
Udinese,Sassuolo,12/02/2023 08:30,2.00,3.60,3.60,"2,5",1.78,1.93,
Bologna,Monza,12/02/2023 11:00,2.20,3.40,3.25,"2,5",2.10,1.66,
Juventus,Fiorentina,12/02/2023 14:00,1.95,3.50,3.90,"2,5",2.00,1.72,
Napoli,Cremonese,12/02/2023 16:45,1.22,6.50,13.00,"3,5",2.10,1.66,
Hellas Verona,Salernitana,13/02/2023 14:30,1.85,3.60,4.20,"2,5",1.98,1.75,
Sampdoria,Internazionale,13/02/2023 16:45,7.00,4.33,1.47,"2,5",1.78,1.93,
Espanyol,Osasuna,Amanhã / 10:00,CRIAR APOSTA,2.55,3.00,3.00,"1,5",1.50,2.40
,,,,,,,,,
Atlético de Madrid,Getafe,Amanhã / 14:30,CRIAR APOSTA,1.42,4.10,9.00,"2,5",2.30,1.53
Betis,Celta de Vigo,Amanhã / 17:00,CRIAR APOSTA,2.20,3.10,3.50,"2,5",2.37,1.52
Mallorca,Real Madrid,05/02/2023 10:00,CRIAR APOSTA,5.00,3.50,1.75,"2,5",2.15,1.61
Girona,Valencia,05/02/2023 12:15,CRIAR APOSTA,2.15,3.30,3.40,"2,5",1.98,1.75
Real Sociedad,Real Valladolid,05/02/2023 14:30,CRIAR APOSTA,1.43,4.33,8.25,"2,5",1.95,1.75
Barcelona,Sevilla,05/02/2023 17:00,CRIAR APOSTA,1.32,5.25,9.50,"2,5",1.66,2.10
Rayo Vallecano,Almería,06/02/2023 17:00,CRIAR APOSTA,1.80,3.60,4.50,"2,5",1.95,1.77
Cádiz,Girona,10/02/2023 17:00,2.80,3.20,2.55,"2,5",2.15,1.63,
Almería,Betis,11/02/2023 12:15,2.85,3.40,2.45,"2,5",2.00,1.72,
Sevilla,Mallorca,11/02/2023 14:30,1.82,3.25,5.00,"1,5",1.50,2.45,
